alarm_id,timestamp,cleared_timestamp,network_element_id,technology,region,alarm_type,alarm_code,severity,severity_rank,status,description,duration_minutes,is_active,hour,dayofweek,is_weekend,day_type,shift,alarm_category,duration_band,inter_alarm_gap_min,site_mtbf_hrs,site_mttr_min
ALM01095,2025-01-13 19:23:00,2025-01-13 20:41:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,78.0,False,19,0,False,weekday,afternoon,Radio,long,0.0,27.5,48.3
ALM01097,2025-01-22 03:17:00,2025-01-22 04:42:00,SITE_G,4G,West,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",85.0,False,3,2,False,weekday,night,Power,long,11994.0,27.5,48.3
ALM01099,2025-01-22 03:24:00,2025-01-22 03:51:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,27.0,False,3,2,False,weekday,night,Radio,medium,7.0,27.5,48.3
ALM01098,2025-01-22 03:32:00,2025-01-22 04:45:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,73.0,False,3,2,False,weekday,night,Radio,long,8.0,27.5,48.3
ALM01100,2025-01-22 03:35:00,2025-01-22 04:18:00,SITE_G,4G,West,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,43.0,False,3,2,False,weekday,night,Radio,medium,3.0,27.5,48.3
ALM01103,2025-01-23 01:33:00,2025-01-23 01:53:00,SITE_G,4G,West,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,20.0,False,1,3,False,weekday,night,Transport,medium,1318.0,27.5,48.3
ALM01102,2025-01-23 01:35:00,2025-01-23 02:59:00,SITE_G,4G,West,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,84.0,False,1,3,False,weekday,night,Radio,long,2.0,27.5,48.3
ALM01101,2025-01-23 01:41:00,2025-01-23 01:55:00,SITE_G,4G,West,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,14.0,False,1,3,False,weekday,night,Radio,short,6.0,27.5,48.3
ALM01104,2025-01-24 18:35:00,2025-01-24 19:12:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,37.0,False,18,4,False,weekday,afternoon,Radio,medium,2454.0,27.5,48.3
ALM01106,2025-01-24 18:35:00,2025-01-24 19:55:00,SITE_G,4G,West,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,80.0,False,18,4,False,weekday,afternoon,Transport,long,0.0,27.5,48.3
ALM01105,2025-01-24 18:42:00,2025-01-24 19:23:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,41.0,False,18,4,False,weekday,afternoon,Radio,medium,7.0,27.5,48.3
ALM01108,2025-01-27 16:25:00,2025-01-27 16:57:00,SITE_G,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,32.0,False,16,0,False,weekday,afternoon,Radio,medium,4183.0,27.5,48.3
ALM01107,2025-01-27 16:29:00,2025-01-27 17:00:00,SITE_G,4G,West,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,31.0,False,16,0,False,weekday,afternoon,Radio,medium,4.0,27.5,48.3
ALM01110,2025-01-27 16:34:00,2025-01-27 17:46:00,SITE_G,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,72.0,False,16,0,False,weekday,afternoon,Radio,long,5.0,27.5,48.3
ALM01109,2025-01-27 16:35:00,2025-01-27 17:59:00,SITE_G,4G,West,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,84.0,False,16,0,False,weekday,afternoon,Radio,long,1.0,27.5,48.3
ALM01113,2025-01-03 05:01:00,2025-01-03 06:05:00,SITE_H,4G,East,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,64.0,False,5,4,False,weekday,night,Transport,long,,28.04,94.6
ALM01111,2025-01-03 05:03:00,2025-01-03 05:54:00,SITE_H,4G,East,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",51.0,False,5,4,False,weekday,night,Power,medium,2.0,28.04,94.6
ALM01112,2025-01-03 05:07:00,2025-01-03 05:12:00,SITE_H,4G,East,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,5.0,False,5,4,False,weekday,night,Hardware,short,4.0,28.04,94.6
ALM01116,2025-01-05 01:53:00,2025-01-05 02:55:00,SITE_H,4G,East,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",62.0,False,1,6,True,weekend,night,Power,long,2686.0,28.04,94.6
ALM01115,2025-01-05 02:01:00,2025-01-05 02:34:00,SITE_H,4G,East,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,33.0,False,2,6,True,weekend,night,Radio,medium,8.0,28.04,94.6
ALM01114,2025-01-05 02:05:00,2025-01-05 02:19:00,SITE_H,4G,East,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,14.0,False,2,6,True,weekend,night,Transport,short,4.0,28.04,94.6
ALM01120,2025-01-12 17:36:00,2025-01-12 17:50:00,SITE_H,4G,East,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,14.0,False,17,6,True,weekend,afternoon,Radio,short,11011.0,28.04,94.6
ALM01119,2025-01-12 17:38:00,2025-01-12 18:24:00,SITE_H,4G,East,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,46.0,False,17,6,True,weekend,afternoon,Radio,medium,2.0,28.04,94.6
ALM01117,2025-01-12 17:40:00,2025-01-12 18:44:00,SITE_H,4G,East,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,64.0,False,17,6,True,weekend,afternoon,Radio,long,2.0,28.04,94.6
ALM01118,2025-01-12 17:47:00,2025-01-12 18:13:00,SITE_H,4G,East,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,26.0,False,17,6,True,weekend,afternoon,Hardware,medium,7.0,28.04,94.6
ALM01121,2025-01-15 10:02:00,2025-01-15 10:24:00,SITE_H,4G,East,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,22.0,False,10,2,False,weekday,morning,Software,medium,3855.0,28.04,94.6
ALM01122,2025-01-15 10:08:00,2025-01-15 11:04:00,SITE_H,4G,East,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,56.0,False,10,2,False,weekday,morning,Radio,medium,6.0,28.04,94.6
ALM01124,2025-01-16 02:20:00,2025-01-16 03:04:00,SITE_H,4G,East,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,44.0,False,2,3,False,weekday,night,Radio,medium,972.0,28.04,94.6
ALM01125,2025-01-16 02:21:00,2025-01-16 02:32:00,SITE_H,4G,East,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,11.0,False,2,3,False,weekday,night,Radio,short,1.0,28.04,94.6
ALM01123,2025-01-16 02:35:00,2025-01-16 03:25:00,SITE_H,4G,East,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,50.0,False,2,3,False,weekday,night,Radio,medium,14.0,28.04,94.6
ALM01128,2025-01-20 16:33:00,2025-01-20 16:41:00,SITE_H,4G,East,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,8.0,False,16,0,False,weekday,afternoon,Transport,short,6598.0,28.04,94.6
ALM01129,2025-01-20 16:42:00,2025-01-20 18:03:00,SITE_H,4G,East,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,81.0,False,16,0,False,weekday,afternoon,Radio,long,9.0,28.04,94.6
ALM01126,2025-01-20 16:43:00,2025-01-20 17:41:00,SITE_H,4G,East,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,58.0,False,16,0,False,weekday,afternoon,Transport,medium,1.0,28.04,94.6
ALM01127,2025-01-20 16:48:00,2025-01-20 17:42:00,SITE_H,4G,East,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,54.0,False,16,0,False,weekday,afternoon,Radio,medium,5.0,28.04,94.6
ALM01131,2025-01-21 21:04:00,2025-01-21 21:17:00,SITE_H,4G,East,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,13.0,False,21,1,False,weekday,afternoon,Radio,short,1696.0,28.04,94.6
ALM01132,2025-01-21 21:16:00,2025-01-21 22:23:00,SITE_H,4G,East,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,67.0,False,21,1,False,weekday,afternoon,Radio,long,12.0,28.04,94.6
ALM01130,2025-01-21 21:19:00,2025-01-21 21:37:00,SITE_H,4G,East,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,18.0,False,21,1,False,weekday,afternoon,Transport,medium,3.0,28.04,94.6
ALM01133,2025-01-21 21:19:00,2025-01-21 22:44:00,SITE_H,4G,East,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,85.0,False,21,1,False,weekday,afternoon,Radio,long,0.0,28.04,94.6
ALM01192,2025-01-30 01:52:00,2025-01-30 23:57:00,SITE_H,4G,East,Battery Backup Fail,TC-1255,Critical,1,Active,"DC power unit on battery, AC failure",1325.0,True,1,3,False,weekday,night,Power,long,11793.0,28.04,94.6
ALM01134,2025-01-05 10:30:00,2025-01-05 11:29:00,SITE_I,5G,North,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,59.0,False,10,6,True,weekend,morning,Transport,medium,,93.21,30.0
ALM01135,2025-01-05 10:32:00,2025-01-05 11:11:00,SITE_I,5G,North,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",39.0,False,10,6,True,weekend,morning,Power,medium,2.0,93.21,30.0
ALM01136,2025-01-15 01:30:00,2025-01-15 01:48:00,SITE_I,5G,North,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,18.0,False,1,2,False,weekday,night,Transport,medium,13858.0,93.21,30.0
ALM01137,2025-01-15 01:33:00,2025-01-15 01:59:00,SITE_I,5G,North,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",26.0,False,1,2,False,weekday,night,Power,medium,3.0,93.21,30.0
ALM01138,2025-01-15 01:40:00,2025-01-15 01:45:00,SITE_I,5G,North,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,5.0,False,1,2,False,weekday,night,Transport,short,7.0,93.21,30.0
ALM01140,2025-01-28 17:46:00,2025-01-28 17:51:00,SITE_I,5G,North,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,5.0,False,17,1,False,weekday,afternoon,Radio,short,19686.0,93.21,30.0
ALM01139,2025-01-28 17:47:00,2025-01-28 18:45:00,SITE_I,5G,North,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,58.0,False,17,1,False,weekday,afternoon,Software,medium,1.0,93.21,30.0
ALM01141,2025-01-04 15:05:00,2025-01-04 16:21:00,SITE_J,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,76.0,False,15,5,True,weekend,afternoon,Radio,long,,35.05,53.0
ALM01143,2025-01-04 15:13:00,2025-01-04 16:23:00,SITE_J,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,70.0,False,15,5,True,weekend,afternoon,Radio,long,8.0,35.05,53.0
ALM01142,2025-01-04 15:19:00,2025-01-04 16:33:00,SITE_J,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,74.0,False,15,5,True,weekend,afternoon,Radio,long,6.0,35.05,53.0
ALM01145,2025-01-11 03:31:00,2025-01-11 04:46:00,SITE_J,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,75.0,False,3,5,True,weekend,night,Radio,long,9372.0,35.05,53.0
ALM01144,2025-01-11 03:33:00,2025-01-11 04:00:00,SITE_J,4G,South,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,27.0,False,3,5,True,weekend,night,Hardware,medium,2.0,35.05,53.0
ALM01148,2025-01-11 13:16:00,2025-01-11 14:20:00,SITE_J,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,64.0,False,13,5,True,weekend,morning,Transport,long,583.0,35.05,53.0
ALM01147,2025-01-11 13:19:00,2025-01-11 14:11:00,SITE_J,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,52.0,False,13,5,True,weekend,morning,Radio,medium,3.0,35.05,53.0
ALM01146,2025-01-11 13:32:00,2025-01-11 14:14:00,SITE_J,4G,South,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,42.0,False,13,5,True,weekend,morning,Transport,medium,13.0,35.05,53.0
ALM01151,2025-01-19 09:16:00,2025-01-19 10:43:00,SITE_J,4G,South,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,87.0,False,9,6,True,weekend,morning,Transport,long,11264.0,35.05,53.0
ALM01152,2025-01-19 09:17:00,2025-01-19 09:58:00,SITE_J,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,41.0,False,9,6,True,weekend,morning,Radio,medium,1.0,35.05,53.0
ALM01150,2025-01-19 09:20:00,2025-01-19 09:29:00,SITE_J,4G,South,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,9.0,False,9,6,True,weekend,morning,Software,short,3.0,35.05,53.0
ALM01149,2025-01-19 09:31:00,2025-01-19 10:09:00,SITE_J,4G,South,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,38.0,False,9,6,True,weekend,morning,Transport,medium,11.0,35.05,53.0
ALM01153,2025-01-23 03:19:00,2025-01-23 03:56:00,SITE_J,4G,South,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,37.0,False,3,3,False,weekday,night,Radio,medium,5388.0,35.05,53.0
ALM01154,2025-01-23 03:27:00,2025-01-23 03:33:00,SITE_J,4G,South,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,6.0,False,3,3,False,weekday,night,Software,short,8.0,35.05,53.0
ALM01155,2025-01-28 03:52:00,2025-01-28 05:05:00,SITE_J,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,73.0,False,3,1,False,weekday,night,Radio,long,7225.0,35.05,53.0
ALM01158,2025-01-28 03:56:00,2025-01-28 04:22:00,SITE_J,4G,South,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,26.0,False,3,1,False,weekday,night,Radio,medium,4.0,35.05,53.0
ALM01157,2025-01-28 03:56:00,2025-01-28 05:15:00,SITE_J,4G,South,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,79.0,False,3,1,False,weekday,night,Software,long,0.0,35.05,53.0
ALM01156,2025-01-28 03:58:00,2025-01-28 04:11:00,SITE_J,4G,South,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,13.0,False,3,1,False,weekday,night,Radio,short,2.0,35.05,53.0
ALM01194,2025-01-30 21:59:00,2025-01-30 23:57:00,SITE_J,4G,South,High Latency,TC-8401,Minor,3,Active,Round-trip latency exceeded 50ms,118.0,True,21,3,False,weekday,afternoon,Transport,long,3961.0,35.05,53.0
ALM01161,2025-01-08 14:36:00,2025-01-08 15:43:00,SITE_K,4G,West,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,67.0,False,14,2,False,weekday,afternoon,Transport,long,,29.13,57.2
ALM01159,2025-01-08 14:44:00,2025-01-08 15:30:00,SITE_K,4G,West,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,46.0,False,14,2,False,weekday,afternoon,Software,medium,8.0,29.13,57.2
ALM01160,2025-01-08 14:45:00,2025-01-08 15:45:00,SITE_K,4G,West,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",60.0,False,14,2,False,weekday,afternoon,Power,medium,1.0,29.13,57.2
ALM01162,2025-01-08 14:49:00,2025-01-08 15:58:00,SITE_K,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,69.0,False,14,2,False,weekday,afternoon,Radio,long,4.0,29.13,57.2
ALM01163,2025-01-09 14:30:00,2025-01-09 15:18:00,SITE_K,4G,West,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,48.0,False,14,3,False,weekday,afternoon,Transport,medium,1421.0,29.13,57.2
ALM01164,2025-01-09 14:40:00,2025-01-09 15:48:00,SITE_K,4G,West,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,68.0,False,14,3,False,weekday,afternoon,Radio,long,10.0,29.13,57.2
ALM01166,2025-01-14 14:51:00,2025-01-14 15:45:00,SITE_K,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,54.0,False,14,1,False,weekday,afternoon,Radio,medium,7211.0,29.13,57.2
ALM01167,2025-01-14 14:59:00,2025-01-14 15:59:00,SITE_K,4G,West,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,60.0,False,14,1,False,weekday,afternoon,Software,medium,8.0,29.13,57.2
ALM01165,2025-01-14 15:05:00,2025-01-14 16:18:00,SITE_K,4G,West,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,73.0,False,15,1,False,weekday,afternoon,Transport,long,6.0,29.13,57.2
ALM01169,2025-01-20 01:16:00,2025-01-20 02:08:00,SITE_K,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,52.0,False,1,0,False,weekday,night,Radio,medium,7811.0,29.13,57.2
ALM01168,2025-01-20 01:35:00,2025-01-20 01:52:00,SITE_K,4G,West,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,17.0,False,1,0,False,weekday,night,Radio,medium,19.0,29.13,57.2
ALM01171,2025-01-27 05:45:00,2025-01-27 06:25:00,SITE_K,4G,West,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,40.0,False,5,0,False,weekday,night,Transport,medium,10330.0,29.13,57.2
ALM01173,2025-01-27 05:46:00,2025-01-27 06:21:00,SITE_K,4G,West,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,35.0,False,5,0,False,weekday,night,Radio,medium,1.0,29.13,57.2
ALM01170,2025-01-27 05:48:00,2025-01-27 06:33:00,SITE_K,4G,West,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,45.0,False,5,0,False,weekday,night,Radio,medium,2.0,29.13,57.2
ALM01172,2025-01-27 05:52:00,2025-01-27 07:09:00,SITE_K,4G,West,Low Throughput,TC-7218,Minor,3,Cleared,Throughput degraded below baseline,77.0,False,5,0,False,weekday,night,Radio,long,4.0,29.13,57.2
ALM01176,2025-01-29 05:43:00,2025-01-29 07:07:00,SITE_K,4G,West,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,84.0,False,5,2,False,weekday,night,Radio,long,2871.0,29.13,57.2
ALM01174,2025-01-29 05:46:00,2025-01-29 06:36:00,SITE_K,4G,West,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,50.0,False,5,2,False,weekday,night,Transport,medium,3.0,29.13,57.2
ALM01175,2025-01-29 05:47:00,2025-01-29 07:12:00,SITE_K,4G,West,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,85.0,False,5,2,False,weekday,night,Radio,long,1.0,29.13,57.2
ALM01177,2025-01-07 10:36:00,2025-01-07 11:26:00,SITE_L,4G,East,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,50.0,False,10,1,False,weekday,morning,Transport,medium,,37.69,40.8
ALM01178,2025-01-07 10:39:00,2025-01-07 11:43:00,SITE_L,4G,East,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,64.0,False,10,1,False,weekday,morning,Software,long,3.0,37.69,40.8
ALM01179,2025-01-07 10:42:00,2025-01-07 10:49:00,SITE_L,4G,East,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,7.0,False,10,1,False,weekday,morning,Radio,short,3.0,37.69,40.8
ALM01180,2025-01-07 10:45:00,2025-01-07 11:31:00,SITE_L,4G,East,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,46.0,False,10,1,False,weekday,morning,Hardware,medium,3.0,37.69,40.8
ALM01181,2025-01-08 01:31:00,2025-01-08 01:47:00,SITE_L,4G,East,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,16.0,False,1,2,False,weekday,night,Radio,medium,886.0,37.69,40.8
ALM01182,2025-01-08 01:46:00,2025-01-08 02:28:00,SITE_L,4G,East,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,42.0,False,1,2,False,weekday,night,Transport,medium,15.0,37.69,40.8
ALM01183,2025-01-17 08:04:00,2025-01-17 08:57:00,SITE_L,4G,East,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,53.0,False,8,4,False,weekday,morning,Transport,medium,13338.0,37.69,40.8
ALM01184,2025-01-17 08:09:00,2025-01-17 09:37:00,SITE_L,4G,East,High Utilization,TC-4817,Major,2,Cleared,Cell utilization exceeded 90%,88.0,False,8,4,False,weekday,morning,Radio,long,5.0,37.69,40.8
ALM01185,2025-01-21 17:34:00,2025-01-21 18:14:00,SITE_L,4G,East,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,40.0,False,17,1,False,weekday,afternoon,Transport,medium,6325.0,37.69,40.8
ALM01187,2025-01-21 17:39:00,2025-01-21 17:51:00,SITE_L,4G,East,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,12.0,False,17,1,False,weekday,afternoon,Radio,short,5.0,37.69,40.8
ALM01186,2025-01-21 17:41:00,2025-01-21 18:40:00,SITE_L,4G,East,RACH Congestion,TC-6015,Minor,3,Cleared,RACH success rate dropped below 95%,59.0,False,17,1,False,weekday,afternoon,Radio,medium,2.0,37.69,40.8
ALM01190,2025-01-30 01:50:00,2025-01-30 02:30:00,SITE_L,4G,East,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,40.0,False,1,3,False,weekday,night,Radio,medium,12009.0,37.69,40.8
ALM01189,2025-01-30 01:52:00,2025-01-30 02:40:00,SITE_L,4G,East,Transmission Fault,TC-1776,Critical,1,Cleared,Transmission path error detected,48.0,False,1,3,False,weekday,night,Transport,medium,2.0,37.69,40.8
ALM01188,2025-01-30 01:57:00,2025-01-30 02:49:00,SITE_L,4G,East,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",52.0,False,1,3,False,weekday,night,Power,medium,5.0,37.69,40.8
ALM01191,2025-01-30 02:05:00,2025-01-30 02:41:00,SITE_L,4G,East,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,36.0,False,2,3,False,weekday,night,Software,medium,8.0,37.69,40.8
ALM01193,2025-01-30 23:57:00,2025-01-30 23:57:00,SITE_L,4G,East,HO Failure Rate High,TC-7154,Major,2,Active,Handover failure rate above threshold,0.0,True,23,3,False,weekday,night,Radio,short,1312.0,37.69,40.8
